index,address,city,state,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,longitude
6634,Pepper Court,los angeles,ca,90302.0,Public,2,False,True,False,False,True,False,33.9693011,-118.3610237
6635,Valencia Crossing,phoenix,az,85213.0,Homeowners Community,1,False,False,False,False,True,False,33.4168456,-111.785953
6636,West Street,san francisco - oakland - san jose,ca,94509.0,Public,6,False,False,False,False,True,False,38.007821,-121.8157089
6637,Avenue,san francisco - oakland - san jose,ca,94116.0,Public,3,False,True,False,False,False,False,37.7518934,-122.4648035
6638,Street East,seattle,wa,98445.0,Public,4,False,False,False,False,False,False,47.1553971,-122.4062562
6639,Hanson Lane,san diego,ca,92065.0,Public,4,False,False,False,False,False,False,33.0280411,-116.871196
6640,Abrams Road,dallas - fort worth,tx,75243.0,Homeowners Community,1,False,False,False,False,True,False,32.9175571,-96.7341471
6641,Southwest Terrace,miami-fort lauderdale,fl,33155.0,Public,2,False,True,False,False,True,False,25.7548699,-80.2963364
6642,East Street,houston - galveston - brazoria,tx,77536.0,Public,6,False,False,False,False,False,False,29.7013918,-95.1180008
6643,Ravenwood Circle,houston - galveston - brazoria,tx,77055.0,Homeowners Community,2,False,False,False,False,True,False,29.8070517,-95.4874563
6644,Apollo Beach Boulevard,tampa-st. petersburg-clearwater,fl,33572.0,Homeowners Community,1,False,False,False,False,False,False,27.773956,-82.407825
6645,Gate Parkway North,jacksonville,fl,32246.0,Homeowners Community,1,False,False,False,False,True,False,30.256945,-81.5367293
6646,Tuskawilla Road,orlando,fl,32708.0,Public,3,False,True,False,False,False,False,28.6885171,-81.2630904
6647,Fairview Vista Point,orlando,fl,32804.0,Homeowners Community,1,False,False,False,False,True,False,28.5855769,-81.408906
6648,West Bellfort Street,houston - galveston - brazoria,tx,77035.0,Homeowners Community,1,False,False,False,False,False,False,29.6573207,-95.5021656
6649,Melville Avenue,new york,ny,6825.0,Public,1,False,False,False,False,False,False,41.1802851,-73.225679
6650,Kennedy Way,san francisco - oakland - san jose,ca,94558.0,Public,6,False,False,False,False,True,False,38.3108427,-122.2995365
6651,Blossom Street,new york,ny,8817.0,Public,1,False,False,False,False,False,False,40.5048426,-74.40701
6652,South I Street,seattle,wa,98408.0,Public,2,False,False,False,False,False,False,47.183996,-122.4456418
6653,Marseilles Circle,chicago,il,60089.0,Public,2,False,False,False,False,False,False,42.1675704,-87.960737
6654,Stonington Court,san francisco - oakland - san jose,ca,94526.0,Homeowners Community,3,False,True,False,False,True,False,37.826938,-121.9948268
6655,High Point Loop,san francisco - oakland - san jose,ca,94582.0,Homeowners Community,1,False,False,False,False,True,False,37.7819594,-121.9405818
6656,Springfield Boulevard,new york,ny,11364.0,Public,3,False,True,False,False,False,False,40.7540924,-73.7597394
6657,Winthrope Way,atlanta,ga,30044.0,Homeowners Community,2,False,False,False,False,True,False,33.8968152,-84.0568471
6658,Marine View Street,san francisco - oakland - san jose,ca,94002.0,Public,2,False,True,False,False,False,False,37.5266516,-122.2803962
6659,Prestwood Drive,atlanta,ga,30097.0,Homeowners Community,2,False,False,False,False,True,False,34.0438854,-84.181999
6660,Beresford Road,atlanta,ga,30290.0,Homeowners Community,2,False,False,False,False,True,False,33.458173,-84.6188235
6661,Southwest West Slope Drive,portland,or,97225.0,Public,2,False,False,False,False,False,False,45.5037302,-122.7610695
6662,Briarwood Road,hartford,ct,6032.0,Public,8,False,False,False,False,True,False,41.7492073,-72.8655875
6663,Norfolk Court,new york,ny,7430.0,Homeowners Community,1,False,False,False,False,False,False,41.1040939,-74.1462457
6664,Silverleaf Lane,charlotte,nc,28104.0,Homeowners Community,1,False,False,False,False,True,False,35.0016324,-80.6896019
6665,Overland Trail,dayton-springfield,oh,45429.0,Public,2,False,False,False,False,False,False,39.6827178,-84.1808081
6666,Kaymin Ridge Road,las vegas,nv,89052.0,Homeowners Community,1,False,False,False,False,False,False,36.0028595,-115.0963998
6667,Tyrone Avenue,los angeles,ca,91405.0,Public,3,False,True,False,False,True,False,34.195573,-118.4448159
6668,Valley View Street,los angeles,ca,90630.0,Public,6,False,False,False,False,True,False,33.8218612,-118.029803
6669,West Mitchell Drive,phoenix,az,85033.0,Public,1,False,False,False,False,True,False,33.4884219,-112.2276378
6670,Apartment,phoenix,az,85258.0,Homeowners Community,2,False,False,False,False,True,False,33.5560589,-111.8940675
6671,Cottonwood Street,sacramento-yolo,ca,95695.0,Public,2,False,True,False,False,True,False,38.6610428,-121.7928135
